Property Name,Property Id,Breadcrumbs,Price,Image URL,Description,Seller Name,Location,Property Type,Bathrooms,Bedrooms,Property URL
"3 bedroom Flat for RENT in near Christian College, Nadakkavu",1744107623,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', '3 bedroom Flat for RENT in near Christian College, Nadakkavu']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/8ebfrc7bwzif-IN/image;s=850x0,"3 bedroom Flat for RENT in near Christian College, Nadakkavu.","S Kumar, Vaishali properties","Nadakkavu, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3-bedroom-flat-for-rent-in-near-christian-college-nadakkavu-iid-1744107623
2bhk fully furnished flat for rent at Thondayad bypass,1624513380,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk fully furnished flat for rent at Thondayad bypass']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qm90nrqdfmts2-IN/image;s=850x0,Near Hilite mall,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,2,https://www.olx.in/item/2bhk-fully-furnished-flat-for-rent-at-thondayad-bypass-iid-1624513380
Studio fully furnished flat for Rent,1630591642,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for Rent']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/8r1lnpb65oql2-IN/image;s=850x0,"Studio ,1bhk ,2bhk,3bhk",FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/studio-fully-furnished-flat-for-rent-iid-1630591642
നല്ലൊരായാൽ മതി വാടക കുറയ്ക്കാം,1731462363,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'നല്ലൊരായാൽ മതി വാടക കുറയ്ക്കാം']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/gafzo6qlioza1-IN/image;s=850x0,Get your appointment with brokees,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/-iid-1731462363
മനം മയക്കും വില്ലയിൽ താമസിക്കാം,1735328376,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'മനം മയക്കും വില്ലയിൽ താമസിക്കാം']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/xvy3e6kbz0ig1-IN/image;s=850x0,സാധാരണ വീടുകളെ അപേക്ഷിച്ച് വില്ലകൾ എപ്പോഴും താമസിക്കുന്നതിന് നമുക്ക് ഒരു സുരക്ഷിതത്വം നൽകുന്ന ഒന്നാണ് വില്ല കൾ. കൃത്യമായി വേസ്റ്റ് മാനേജ്മെന്റ് സെക്യൂരിറ്റിയും കൂടാതെ മറ്റുള്ള അമിനിറ്റുകളും എല്ലാം ഉള്ളതുകൊണ്ടുതന്നെ നിങ്ങളുടെ കുടുംബമൊത്ത് നിങ്ങൾക്ക് വളരെ സുരക്ഷിതത്വത്തോട് കൂടി നിൽക്കാൻ ഉതകുന്ന ഒന്നാണ് വില്ല പ്രൊജക്ടുകൾ.,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/-iid-1735328376
പുത്തൻ വീട്ടിൽ നിന്നാലോ ചേട്ടാ,1671494498,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'പുത്തൻ വീട്ടിൽ നിന്നാലോ ചേട്ടാ']","{'amount': '26', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/cy2gcyv4zvb53-IN/image;s=850x0,Get your appointment with expert team now.,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,4+,4,https://www.olx.in/item/-iid-1671494498
"Rental House ഇനി വിരൽ തുമ്പിൽ ,Brokees",1634417325,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Rental House ഇനി വിരൽ തുമ്പിൽ ,Brokees']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ckvlhdfrs876-IN/image;s=850x0,വാടക വീടും തപ്പി ഇങ്ങനെ ദിവസവും കുടുംബവുമൊത്ത് അലയാം എന്നാണോ ചേട്ടാ വിചാരിച്ചിരിക്കുന്നെ ?  അപകടമാണ് .  കൊറോണ അതീവ അപകടകാരിയും .,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4,https://www.olx.in/item/rental-house-brokees-iid-1634417325
വൃത്തിയും ഭംഗിയും ഒരുമിക്കുന്ന വീടുകൾ നോക്കാം,1665233041,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'വൃത്തിയും ഭംഗിയും ഒരുമിക്കുന്ന വീടുകൾ നോക്കാം']","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yzqool9bhjew2-IN/image;s=850x0,അതെ എപ്പോഴും വാടക വീട് നോക്കുമ്പോൾ നാം അഭിമുഖീകരിക്കുന്ന പ്രധാന പ്രശ്നം വൃത്തി ഇല്ലായ്മ ഭംഗി കുറവ് എന്നിവ തന്നെയാണ് ഇവയെല്ലാം ഒരുമിക്കുന്ന കോഴിക്കോട് നഗരത്തിൽ നിങ്ങൾക്ക് ലഭിക്കുന്ന മികച്ച ഓപ്ഷൻ Brokees നൽകുന്നു.,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4,https://www.olx.in/item/-iid-1665233041
"കുഞ്ഞു കുടുംബം ,കുഞ്ഞു വാടക വീട്",1629698862,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'കുഞ്ഞു കുടുംബം ,കുഞ്ഞു വാടക വീട്']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/d7exmfjxedmy2-IN/image;s=850x0,Looking for a House for rent in calicut city? ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/-iid-1629698862
"3 bhk Unfurnished Apartment for RENT in near Civil Station, Calicut",1743823846,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranhipalam', '3 bhk Unfurnished Apartment for RENT in near Civil Station, Calicut']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/q75w25s71rem2-IN/image;s=850x0,"3 bedroom Apartment for Rent in near Civil Station, Kozhikode.","S Kumar, Vaishali properties","Eranhipalam, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3-bhk-unfurnished-apartment-for-rent-in-near-civil-station-calicut-iid-1743823846
